Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes
Police Nationale,"Samedi je vais à la police pour une plainte, quelqu'un a double ma carte et a fait des transactions bancaires avec mon compte.
Eh bon, en France ils prennent pas de plainte le samedi!
Il faut que je fasse une plainte en ligne. Je l'ai fait, pas de réponse! Aujourd'hui j'appelle et l'agent responsable pour le plainte n'est pas dans son bureau. La dame au téléphone me dit qu'il me va appeler dans 2 minutes.
Rien du tout.
J'ai essayé tout l'après-midi midi et j'ai pas eu de réponse!
Liberté égalité fraternité, et pas de plainte  le weekend","21 Rue Farnerie, 26000 Valence",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Personnes incompétentes ? Elles restent à parler entre elles jusqu’à ce qu’une urgence se présente, si vous êtes là juste pour une petite plainte, on s’en fout de vous.. ceux qui viennent pour porter plainte ne doivent pas être humain, ils peuvent patienter ..","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"J'appelle pour signaler une arnaque, on me dit ""portez plainte"" et ""jvais devoir raccrocher car j'ai d'autres personnes qui appellent"". Aucune compassion, aucun respect de la personne qui a besoin d'aide. Je demande de répéter une information, on me dit merci. Hallucinant venant d'un service de protection....","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Excellent accueil de nuit a la suite d'une plainte que j'ai déposé.
Merci aux fonctionnaires très sympathique qui m'ont accueilli avec gentillesse ! Courage a vous tous !","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Service déplorable, j’ai passé une nuit dans cet hôtel alors que je n’avais même pas réservé d’hôtel d’ailleurs , les employés sont venus me chercher chez moi a 6h du matin ils m’ont offert des bracelets c’était sympa de leur part mais ils étaient trop serrés, le ménage n’était pas fait dans la chambre et le matelas était très dur","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Ce matin vers 12h30 je roulais tranquillement sur l'autoroute direction Valence. Mon allure ne dépassait pas les 130 kms heure je respecte les limitations de vitesses et garde toujours un œil sur mes rétroviseurs. Mais alors que j'étais en …,"21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Venus nous  cherché en plaine compagne avec mes amis  une voiture et un camion pour les vélo il était très agressif nous somme monter dans la voiture et le camion pare la suite il on pas respecter les limite de vitesse 120 au lieu de 50 …,"21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"(0/5, Google ne le permet pas encore donc je le précise)

Refus de prise de plainte pour tentative d'arnaque, abus de faiblesse et …","21 Rue Farnerie, 26000 Valence",il y a 4 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Des gens incompétents. Des policier payer a rien faire. ne prennent même par les mains courante ni les plainte. vous êtes plein de blabla.,"21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Je suis venue faire une procuration pour les élections. Très bon accueil téléphonique quelques jours avant pour savoir ce qu'il fallait et ce matin, pour la faire. Merci.","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Je demande si par azar ils ont pas retrouver ma carte identité ""non merci bonne journée"" ok ... Même pas de prise de nom de prénom ...","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Personnel très agréable même quand on ce fou de leurs gueule ouvertement, cellules très confortables mais des effort a faire niveaux olfactifs, voir a rajouter des mousse ou coussin sur les bancs de rétentions pour le confort de mes fesses la prochaine fois, bisous au personnel, PEACE","21 Rue Farnerie, 26000 Valence",il y a 4 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Pitoyable !!! L’interlocutrice raccroche au nez alors que je demande des informations et explications ! Impatiente désagréable ! Il y a des personnes qui recherche du travail ! Si vous êtes blasé donnez la place au autres!,"21 Rue Farnerie, 26000 Valence",il y a 3 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Accueil sympa. Les policiers étaient très agréables. Les motards sont compréhensif et très pédagogues.
Les policiers valentinois sont présent coûte que coûte. Merci","21 Rue Farnerie, 26000 Valence",il y a 4 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Bon accueil
Une dame a finalise ma plainte avec une grande gentillesse....
Merci","21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Vas falloir améliorer vos wheeling en moto les gars, c'est pas ouf, décevant.","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Accueil sympathique par téléphone. Personnel très arrangeant pour prise de rendez-vous. Merci.,"21 Rue Farnerie, 26000 Valence",il y a 6 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Attentes interminables 1h30. Pensais à arriver en retard. Sinon aller directement à la gendarmerie.,"21 Rue Farnerie, 26000 Valence",il y a 4 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,"Aceuill a revoir aucun bonjour, aucune politesses cherche a faire vite sans aucune qualité de travail.","21 Rue Farnerie, 26000 Valence",il y a 3 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809
Police Nationale,Des benêts dans toute leur splendeur 😂😂😂😂😂 …,"21 Rue Farnerie, 26000 Valence",il y a un an, Auvergne-Rhône-Alpes,45.2968119,4.6604809
