Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes,Labels
Police Nationale,"Samedi je vais à la police pour une plainte, quelqu'un a double ma carte et a fait des transactions bancaires avec mon compte.
Eh bon, en France ils prennent pas de plainte le samedi!
Il faut que je fasse une plainte en ligne. Je l'ai fait, pas de réponse! Aujourd'hui j'appelle et l'agent responsable pour le plainte n'est pas dans son bureau. La dame au téléphone me dit qu'il me va appeler dans 2 minutes.
Rien du tout.
J'ai essayé tout l'après-midi midi et j'ai pas eu de réponse!
Liberté égalité fraternité, et pas de plainte  le weekend","21 Rue Farnerie, 26000 Valence",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"Personnes incompétentes ? Elles restent à parler entre elles jusqu’à ce qu’une urgence se présente, si vous êtes là juste pour une petite plainte, on s’en fout de vous.. ceux qui viennent pour porter plainte ne doivent pas être humain, ils peuvent patienter ..","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"J'appelle pour signaler une arnaque, on me dit ""portez plainte"" et ""jvais devoir raccrocher car j'ai d'autres personnes qui appellent"". Aucune compassion, aucun respect de la personne qui a besoin d'aide. Je demande de répéter une information, on me dit merci. Hallucinant venant d'un service de protection....","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"Excellent accueil de nuit a la suite d'une plainte que j'ai déposé.
Merci aux fonctionnaires très sympathique qui m'ont accueilli avec gentillesse ! Courage a vous tous !","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Police Nationale,"Service déplorable, j’ai passé une nuit dans cet hôtel alors que je n’avais même pas réservé d’hôtel d’ailleurs , les employés sont venus me chercher chez moi a 6h du matin ils m’ont offert des bracelets c’était sympa de leur part mais ils étaient trop serrés, le ménage n’était pas fait dans la chambre et le matelas était très dur","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,Ce matin vers 12h30 je roulais tranquillement sur l'autoroute direction Valence. Mon allure ne dépassait pas les 130 kms heure je respecte les limitations de vitesses et garde toujours un œil sur mes rétroviseurs. Mais alors que j'étais en …,"21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Police Nationale,Venus nous  cherché en plaine compagne avec mes amis  une voiture et un camion pour les vélo il était très agressif nous somme monter dans la voiture et le camion pare la suite il on pas respecter les limite de vitesse 120 au lieu de 50 …,"21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,Des gens incompétents. Des policier payer a rien faire. ne prennent même par les mains courante ni les plainte. vous êtes plein de blabla.,"21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"Je suis venue faire une procuration pour les élections. Très bon accueil téléphonique quelques jours avant pour savoir ce qu'il fallait et ce matin, pour la faire. Merci.","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Police Nationale,"Je demande si par azar ils ont pas retrouver ma carte identité ""non merci bonne journée"" ok ... Même pas de prise de nom de prénom ...","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"Bon accueil
Une dame a finalise ma plainte avec une grande gentillesse....
Merci","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Police Nationale,"Vas falloir améliorer vos wheeling en moto les gars, c'est pas ouf, décevant.","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,Des benêts dans toute leur splendeur 😂😂😂😂😂 …,"21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Police Nationale,grande incompétence et mauvais accueil telephonique,"21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Police Nationale,"you are lazy!!! you didn't help us when we were robbed! you smiled and said: ""we can't do anything!"" we saw where the thieves were going, but you didn't want to look. WHY DO YOU NEED THEN??? you said you would look at the cameras later, but you do nothing, there is no information. it's been a month!!!","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police Nationale,Une femme battue l'es appel pour de l'aide rien ....limite ils ont pas le temps malgré plusieurs appels à différents moments l'homme toujours dehors même pas convoqué même pas ils se déplace que faut il faire ??? Le procureur certainement ? peut être ? Attendre BFM rendre public leur impuissance où je m'en foutisme sûrement,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 8 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,Toujours un peu difficile de se faire entendre et souvent débordé.,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Neutre
Commissariat de Police Nationale,"Plusieurs visites en tant que victime sur l'année 2021.
Beaucoup de bonne volonté, mais très peu de moyens et donc les conséquences s'en ressentent. Personnel au bout du rouleau.","Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,tel pour nuisances sonores et bien l'agent que j'ai eu au téléphone absolument pas respectueux limite insultant si vous avez besoin de rien appelez les ils seront ravis,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,"voila je voudrais savoir pourquoi a plusieures reprises apres des appels qui vou sdisent que vous allez etre mis en relation,apres cela sonne normalement et cela fini par couper;cela devient vraiment chiant …","Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,J’aime bien ce tacos le maxi et très gros les frittes sont très bonne et laceuil et la je recommande,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police Nationale,"Passez un séjour et je peut vous dire que l'on y dort mal , matelas peut confortable, toilette dans la même pièce, les policiers vous calcule pas même ! Et le petit dej laisse à désiré, je ne recommande pas du tout","2 Cr Vincent d'Indy, 03000 Moulins",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,Dommage qu’on ne peut pas mettre 0 étoile !,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 8 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,Des policiers agressif ils nous crie dessus ils faut pas les déranger sinon l'accueil est épouvantable notre police est loin de la police d autres fois,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,"Bon séjour en GAV, l'accueil des gens est vraiment sympathique.
Je recommande fort, expérience à refaire.","2 Cr Vincent d'Indy, 03000 Moulins",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police Nationale,"Vous n'êtes que des branles-manettes à rester assis derrière votre bureau. Quand il s'agit d'écouter les gens,  il n'y a plus personne.","2 Cr Vincent d'Indy, 03000 Moulins",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,Pas très compétant...,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,Merci beaucoup de m'avoir aidé à trouver mon chemin vers la ville de Bourges. Ce soir j'ai fait une erreur et je suis allé au centre de Moulins. Les gendarmes de Moulins vous remercient beaucoup.,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de prendre une plainte - Au téléphone ce matin avec la personne la plus incompétente et bornée qu'il m'ait été donné d'avoir au téléphone.
Je suis pas juriste, mais je sais quand même que tu peux porter plainte pour une autre raison que se faire percuter par une voiture. Le policier me soutient au téléphone que même en cas d'agression, il n'est pas à même de prendre une plainte. Formez davantage votre personnel, et apprenez leur à être aimable au téléphone.","19 Pl. Louis Pradel, 69001 Lyon",il y a 3 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Après 2h d'attente pour ajouter un complément de plainte pour un petit papier que le site du gouvernement m'avait demandé. Les policiers avaient déjà classé la plainte sachant qu'ils n'ont jamais réglé le problème et ils m'ont dit qu'ils …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Je voulais déclarer un vol de ma CNI je suis tombé sur un officier (petit de taille 1m60 environ) qui me parlait très mal et j’ai vite compris son jeu de provocation à l’hautrage. …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"J'ai affronté bon nombre de calamités dans ma vie mais ces créatures qui osent encore exister...
Quand tu postules spontanément, que tu te fais traiter de harceleuse, que tu te …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Bonne garde à vu juste pas de chauffage mais la nourriture et bonne surveillant pas très cool il ne voulais pas me donner l’heure mais sinon le reste est nickel franchement pour 24h sa passe mais pour 48h vous devenez schizophrène,"19 Pl. Louis Pradel, 69001 Lyon",il y a 3 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Neutre
Commissariat de Police de Lyon 1er et 4ème arrondissements,Être à 20 mètres d’une bagarre mais se faire gazer. Juger comme « des dommages collatéraux ». Merci à ces gentils gendarmes pour une fin de soirée des plus mémorables !,"19 Pl. Louis Pradel, 69001 Lyon",il y a 4 semaines, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"NE VENAIS PAS ICI POUR DÉPOSER PLAINTE.
15 minutes pour joindre le commissariat, on décide de s’y rendre.. afin de déposer une plainte (en tant que victime), devant nous une dame venait déposer une …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,La garde à vue pue de fou le deck se moquent de nous a croire que on est leurs chien l’expérience date de 1ans pour conduire sans permis bah franchement pas à revivre,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,2 fois que je les appelle pour leur signaler qu'il y a régulièrement des dealers qui se postent autour de la place Puvis de Chavannes... Personne ne de déplace... Pire on ne me prend pas au sérieux et on me demande sur quels critères je peux insinuer cela.... N'importe quoi !,"19 Pl. Louis Pradel, 69001 Lyon",il y a 4 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Commissariat qui refuse de prendre une plainte pour agression car « ce n’était que verbal vous savez les hommes de nos jours disent ça pour s’amuser sans vraiment le penser » (pas mot pour mot mais ils l’ont explicitement dit) …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Je me suis fais voler le compteur de ma moto angle rue grenette et quai St Antoine le 11 novembre je n’aurais jamais pensé que la police allait être aussi réactive du coup il connaissait les voleurs ils ont pu me récupérer mon compteur en …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je viens le mardi pour retirer une plainte pour vol de téléphone, j'arrive à midi, on me dit qu'il n'y a personne car tout le monde est parti manger (ils pourraient peut-etre manger chacun leur tour?). Je reviens le lendemain, une stagière …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Garde à vue propre ils m’ont pas laisser faire uriner pendant plus de 12heures policier pas agréable et ce moque de nous c’est pas sérieux de se moque de nous en nous faisant croire certaines choses,"19 Pl. Louis Pradel, 69001 Lyon",il y a 3 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Plus de 15 appel pour avoir au final un incompétent au téléphone qui ne sait rien. Super vous recrutez que des stagiaires après vous êtes étonné de la qualité du taff.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Venu pour déposer plainte en tant que victime on me parle violemment et on me dit de partir car le service ferme dans 50mn...hallucinant !
Se faire recevoir et parler comme ça en ayant été poli (et victime). Indigne d'un service public, de service il n'y a que le nom.","19 Pl. Louis Pradel, 69001 Lyon",il y a 7 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
