Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes,Processing,Labels,Topics
Police Nationale,"Samedi je vais à la police pour une plainte, quelqu'un a double ma carte et a fait des transactions bancaires avec mon compte.
Eh bon, en France ils prennent pas de plainte le samedi!
Il faut que je fasse une plainte en ligne. Je l'ai fait, pas de réponse! Aujourd'hui j'appelle et l'agent responsable pour le plainte n'est pas dans son bureau. La dame au téléphone me dit qu'il me va appeler dans 2 minutes.
Rien du tout.
J'ai essayé tout l'après-midi midi et j'ai pas eu de réponse!
Liberté égalité fraternité, et pas de plainte  le weekend","21 Rue Farnerie, 26000 Valence",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['samedi', 'vais', 'police', 'plainte', 'quelqu', 'double', 'carte', 'fait', 'transactions', 'bancaires', 'compte', 'eh', 'bon', 'france', 'prennent', 'plainte', 'samedi', 'faut', 'fasse', 'plainte', 'ligne', 'fait', 'réponse', 'aujourd', 'hui', 'appelle', 'agent', 'responsable', 'plainte', 'bureau', 'dame', 'téléphone', 'dit', 'va', 'appeler', 'minutes', 'rien', 'essayé', 'après', 'midi', 'midi', 'réponse', 'liberté', 'égalité', 'fraternité', 'plainte', 'weekend']",Négatif,plainte samedi fait réponse
Police Nationale,"Personnes incompétentes ? Elles restent à parler entre elles jusqu’à ce qu’une urgence se présente, si vous êtes là juste pour une petite plainte, on s’en fout de vous.. ceux qui viennent pour porter plainte ne doivent pas être humain, ils peuvent patienter ..","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['personnes', 'incompétentes', 'elles', 'restent', 'parler', 'entre', 'elles', 'jusqu', 'urgence', 'présente', 'si', 'là', 'juste', 'petite', 'plainte', 'fout', 'ceux', 'viennent', 'porter', 'plainte', 'doivent', 'être', 'humain', 'peuvent', 'patienter']",Négatif,elles plainte personnes incompétentes
Police Nationale,"J'appelle pour signaler une arnaque, on me dit ""portez plainte"" et ""jvais devoir raccrocher car j'ai d'autres personnes qui appellent"". Aucune compassion, aucun respect de la personne qui a besoin d'aide. Je demande de répéter une information, on me dit merci. Hallucinant venant d'un service de protection....","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['appelle', 'signaler', 'arnaque', 'dit', 'portez', 'plainte', 'jvais', 'devoir', 'raccrocher', 'car', 'autres', 'personnes', 'appellent', 'aucune', 'compassion', 'aucun', 'respect', 'personne', 'besoin', 'aide', 'demande', 'répéter', 'information', 'dit', 'merci', 'hallucinant', 'venant', 'service', 'protection']",Négatif,dit personne appelle signaler
Police Nationale,"Service déplorable, j’ai passé une nuit dans cet hôtel alors que je n’avais même pas réservé d’hôtel d’ailleurs , les employés sont venus me chercher chez moi a 6h du matin ils m’ont offert des bracelets c’était sympa de leur part mais ils étaient trop serrés, le ménage n’était pas fait dans la chambre et le matelas était très dur","21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['service', 'déplorable', 'passé', 'nuit', 'cet', 'hôtel', 'alors', 'réservé', 'hôtel', 'ailleurs', 'employés', 'venus', 'chercher', 'chez', 'matin', 'offert', 'bracelets', 'sympa', 'part', 'trop', 'serrés', 'ménage', 'fait', 'chambre', 'matelas', 'très', 'dur']",Négatif,hôtel service déplorable passé
Police Nationale,Venus nous  cherché en plaine compagne avec mes amis  une voiture et un camion pour les vélo il était très agressif nous somme monter dans la voiture et le camion pare la suite il on pas respecter les limite de vitesse 120 au lieu de 50 …,"21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['venus', 'cherché', 'plaine', 'compagne', 'amis', 'voiture', 'camion', 'vélo', 'très', 'agressif', 'somme', 'monter', 'voiture', 'camion', 'pare', 'suite', 'respecter', 'limite', 'vitesse', 'lieu']",Négatif,voiture camion venus cherché
Police Nationale,Des gens incompétents. Des policier payer a rien faire. ne prennent même par les mains courante ni les plainte. vous êtes plein de blabla.,"21 Rue Farnerie, 26000 Valence",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['gens', 'incompétents', 'policier', 'payer', 'rien', 'faire', 'prennent', 'mains', 'courante', 'ni', 'plainte', 'plein', 'blabla']",Négatif,gens incompétents policier payer
Police Nationale,"Je demande si par azar ils ont pas retrouver ma carte identité ""non merci bonne journée"" ok ... Même pas de prise de nom de prénom ...","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['demande', 'si', 'azar', 'retrouver', 'carte', 'identité', 'non', 'merci', 'bonne', 'journée', 'ok', 'prise', 'nom', 'prénom']",Négatif,demande si azar retrouver
Police Nationale,"Vas falloir améliorer vos wheeling en moto les gars, c'est pas ouf, décevant.","21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['vas', 'falloir', 'améliorer', 'wheeling', 'moto', 'gars', 'ouf', 'décevant']",Négatif,vas falloir améliorer wheeling
Police Nationale,grande incompétence et mauvais accueil telephonique,"21 Rue Farnerie, 26000 Valence",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['grande', 'incompétence', 'mauvais', 'accueil', 'telephonique']",Négatif,grande incompétence mauvais accueil
Commissariat de Police Nationale,Une femme battue l'es appel pour de l'aide rien ....limite ils ont pas le temps malgré plusieurs appels à différents moments l'homme toujours dehors même pas convoqué même pas ils se déplace que faut il faire ??? Le procureur certainement ? peut être ? Attendre BFM rendre public leur impuissance où je m'en foutisme sûrement,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 8 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['femme', 'battue', 'appel', 'aide', 'rien', 'limite', 'temps', 'malgré', 'plusieurs', 'appels', 'différents', 'moments', 'homme', 'toujours', 'dehors', 'convoqué', 'déplace', 'faut', 'faire', 'procureur', 'certainement', 'peut', 'être', 'attendre', 'bfm', 'rendre', 'public', 'impuissance', 'où', 'foutisme', 'sûrement']",Négatif,appel femme battue aide
